bolge_muduru,ihmal_sayi,ihmal_alan_ha,kasit_sayi,kasit_alan_ha,kaza_sayi,kaza_alan_ha,bilinmeyen_sayi,bilinmeyen_alan_ha,yildirim_sayi,yildirim_alan_ha
Adana,49,209.50,6,4.09,18,96.57,68,324.46,17,3.43
Amasya,104,146.54,0,0.00,6,15.38,0,0.00,9,0.29
Ankara,8,19.53,0,0.00,6,7.02,30,58.53,19,1.07
Antalya,71,81.06,33,592.03,39,824.72,7,20.32,32,8.87
Artvin,4,0.19,0,0.00,0,0.00,2,20.95,4,0.02
Balıkesir,60,223.08,2,4.33,29,274.77,17,7.33,11,0.63
Bolu,18,89.60,1,0.19,11,6.60,16,112.95,12,0.78
Bursa,22,918.39,2,0.03,16,4289.49,80,11693.26,9,0.56
Çanakkale,79,2257.09,12,42.61,40,723.87,16,4201.92,5,0.89
Denizli,8,32.24,1,0.50,5,118.15,53,3004.51,14,5.04
Elazığ,110,123.50,5,0.00,48,24.78,2,0.00,4,0.00
Erzurum,25,22.56,0,0.00,1,0.00,35,31.11,0,0.00
Eskişehir,2,0.02,0,0.00,0,0.00,24,777.82,1,0.01
Giresun,41,37.29,0,0.00,0,0.00,29,24.73,0,0.00
Hatay,11,430.71,3,506.70,2,0.09,33,2312.26,6,7.69
Isparta,5,0.26,0,0.00,4,5.79,19,21.34,2,0.04
İstanbul,154,4521.44,14,6.99,9,1.13,6,9.24,2,0.60
İzmir,178,4410.71,7,20.26,67,7837.79,60,2931.48,9,2.97
Kahramanmaraş,22,235.39,3,0.22,21,2017.63,89,106.83,11,0.15
Kastamonu,38,2010.69,0,0.00,11,7.02,0,0.00,21,4.06
Kayseri,8,18.47,0,0.00,3,2.28,35,102.00,1,0.12
Konya,28,377.74,1,74.02,3,0.52,10,6.07,2,0.54
Kütahya,20,59.90,0,0.00,7,70.19,16,8.99,14,2.54
Mersin,53,21.12,9,1.34,28,6022.46,3,0.84,12,1.18
Muğla,102,213.41,44,2042.07,36,32.90,0,0.00,29,223.43
Sakarya,51,169.36,1,0.01,7,3.84,45,4627.84,0,0.00
Sinop,1,0.83,3,2.20,2,0.05,6,20.11,6,0.51
Şanlıurfa,12,3.35,4,0.00,10,3.77,240,522.48,5,0.00
Trabzon,26,78.19,0,0.00,0,0.00,23,24.26,2,0.61
Zonguldak,11,321.36,1,244.97,7,132.64,37,6196.53,11,1.80
Milli Parklar,10,478.70,8,3.06,6,0.61,11,457.92,9,1.65
