bolge_muduru,yangin_sayisi,yanan_alan_ha
Adana,158,638.05
Amasya,119,162.21
Ankara,63,86.15
Antalya,182,1527.00
Artvin,10,21.16
Balıkesir,119,510.14
Bolu,58,210.12
Bursa,129,16901.73
Çanakkale,152,7226.38
Denizli,81,3160.44
Elazığ,169,148.28
Erzurum,61,53.67
Eskişehir,27,777.85
Giresun,70,62.02
Hatay,55,3257.45
Isparta,30,27.43
İstanbul,185,4539.40
İzmir,321,15203.21
Kahramanmaraş,146,2360.22
Kastamonu,70,2021.77
Kayseri,47,122.87
Konya,44,458.89
Kütahya,57,141.62
Mersin,105,6046.94
Muğla,211,2511.81
Sakarya,104,4801.05
Sinop,18,23.70
Şanlıurfa,271,529.60
Trabzon,51,103.06
Zonguldak,67,6897.30
Milli Parklar,44,941.94
